Heading,Subheading,Pre Content
Building and Publishing#,Shouldpyproject.tomlbe added?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,Shouldsetup.pybe deleted?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,Where to start?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,How to handle additional build-time dependencies?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,What is the build isolation feature?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,How to handle packaging metadata?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,How to handle dynamic metadata?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,What if something that can not be changed expects asetup.pyfile?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Building and Publishing#,Where to read more about this?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Hosting#,Caching with pip#,"python3-mpipwheel--wheel-dir=/tmp/wheelhouseSomeProject
python3-mpipinstall--no-index--find-links=/tmp/wheelhouseSomeProject"
Hosting#,Existing projects#,"python3-mpipwheel--wheel-dir=/tmp/wheelhouseSomeProject
python3-mpipinstall--no-index--find-links=/tmp/wheelhouseSomeProject"
Hosting#,“Manual” repository#,python3-mpipinstall--extra-index-urlhttps://python.example.com/foobar
Hosting#,Existing projects#,python3-mpipinstall--extra-index-urlhttps://python.example.com/foobar
Tool recommendations#,Virtual environments#,
Tool recommendations#,Installing packages#,
Tool recommendations#,Lock files#,
Tool recommendations#,Build backends#,
Tool recommendations#,Building distributions#,
Tool recommendations#,Uploading to PyPI#,
Tool recommendations#,Workflow tools#,
Analyzing PyPI package downloads#,Background#,"#standardSQL
SELECT COUNT(*) AS num_downloads
FROM `bigquery-public-data.pypi.file_downloads`
WHERE file.project = 'pytest'
  -- Only query the last 30 days of history
  AND DATE(timestamp)
    BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
    AND CURRENT_DATE()"
Analyzing PyPI package downloads#,Public dataset#,"#standardSQL
SELECT COUNT(*) AS num_downloads
FROM `bigquery-public-data.pypi.file_downloads`
WHERE file.project = 'pytest'
  -- Only query the last 30 days of history
  AND DATE(timestamp)
    BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
    AND CURRENT_DATE()"
Analyzing PyPI package downloads#,Caveats#,"#standardSQL
SELECT COUNT(*) AS num_downloads
FROM `bigquery-public-data.pypi.file_downloads`
WHERE file.project = 'pytest'
  -- Only query the last 30 days of history
  AND DATE(timestamp)
    BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
    AND CURRENT_DATE()"
Analyzing PyPI package downloads#,Additional tools#,"#standardSQL
SELECT COUNT(*) AS num_downloads
FROM `bigquery-public-data.pypi.file_downloads`
WHERE file.project = 'pytest'
  -- Only query the last 30 days of history
  AND DATE(timestamp)
    BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
    AND CURRENT_DATE()"
Analyzing PyPI package downloads#,References#,"#standardSQL
SELECT COUNT(*) AS num_downloads
FROM `bigquery-public-data.pypi.file_downloads`
WHERE file.project = 'pytest'
  -- Only query the last 30 days of history
  AND DATE(timestamp)
    BETWEEN DATE_SUB(CURRENT_DATE(), INTERVAL 30 DAY)
    AND CURRENT_DATE()"
Versioning#,Valid version numbers#,
Versioning#,Semantic versioning vs. calendar versioning#,
Versioning#,Local version identifiers#,
Deploying Python applications#,Overview#,"FIXME

Meaning: x86, x64, ARM, others?

For Python-only distributions, it *should* be straightforward to deploy on all
platforms where Python can run.

For distributions with binary extensions, deployment is major headache.  Not only
must the extensions be built on all the combinations of operating system and
hardware platform, but they must also be tested, preferably on continuous
integration platforms.  The issues are similar to the ""multiple Python
versions"" section above, not sure whether this should be a separate section.
Even on Windows x64, both the 32 bit and 64 bit versions of Python enjoy
significant usage."
Deploying Python applications#,OS packaging & installers#,"FIXME

Meaning: x86, x64, ARM, others?

For Python-only distributions, it *should* be straightforward to deploy on all
platforms where Python can run.

For distributions with binary extensions, deployment is major headache.  Not only
must the extensions be built on all the combinations of operating system and
hardware platform, but they must also be tested, preferably on continuous
integration platforms.  The issues are similar to the ""multiple Python
versions"" section above, not sure whether this should be a separate section.
Even on Windows x64, both the 32 bit and 64 bit versions of Python enjoy
significant usage."
Deploying Python applications#,Application bundles#,"FIXME

Meaning: x86, x64, ARM, others?

For Python-only distributions, it *should* be straightforward to deploy on all
platforms where Python can run.

For distributions with binary extensions, deployment is major headache.  Not only
must the extensions be built on all the combinations of operating system and
hardware platform, but they must also be tested, preferably on continuous
integration platforms.  The issues are similar to the ""multiple Python
versions"" section above, not sure whether this should be a separate section.
Even on Windows x64, both the 32 bit and 64 bit versions of Python enjoy
significant usage."
Deploying Python applications#,Configuration management#,"FIXME

Meaning: x86, x64, ARM, others?

For Python-only distributions, it *should* be straightforward to deploy on all
platforms where Python can run.

For distributions with binary extensions, deployment is major headache.  Not only
must the extensions be built on all the combinations of operating system and
hardware platform, but they must also be tested, preferably on continuous
integration platforms.  The issues are similar to the ""multiple Python
versions"" section above, not sure whether this should be a separate section.
Even on Windows x64, both the 32 bit and 64 bit versions of Python enjoy
significant usage."
install_requires vs requirements files#,install_requires#,"install_requires=['A','B']"
install_requires vs requirements files#,Requirements files#,"install_requires=['A','B']"
Distribution package vs. import package#,What’s a distribution package?#,
Distribution package vs. import package#,What’s an import package?#,
Distribution package vs. import package#,What are the links between distribution packages and import packages?#,
Distribution package vs. import package#,How do distribution package names and import package names compare?#,
Package Formats#,What is a source distribution?#,
Package Formats#,What is a wheel?#,
Package Formats#,What about eggs?#,
Issetup.pydeprecated?#,What commands should be used instead?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,What about other commands?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,What about custom commands?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,What about custom build steps?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,Shouldsetup.pybe deleted?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,Ispyproject.tomlmandatory?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,Why? What does it all mean?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Issetup.pydeprecated?#,Where to read more about this?#,"[build-system]requires=[""setuptools""]build-backend=""setuptools.build_meta"""
Package Distribution Metadata#,Name format#,^([A-Z0-9]|[A-Z0-9][A-Z0-9._-]*[A-Z0-9])$
Package Distribution Metadata#,Name normalization#,^([A-Z0-9]|[A-Z0-9][A-Z0-9._-]*[A-Z0-9])$
Package Distribution Metadata#,History#,^([A-Z0-9]|[A-Z0-9][A-Z0-9._-]*[A-Z0-9])$
Package Distribution Metadata#,Metadata-Version#,Metadata-Version: 2.3
Package Distribution Metadata#,Name#,Metadata-Version: 2.3
Package Distribution Metadata#,Version#,Metadata-Version: 2.3
Package Distribution Metadata#,Dynamic (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Platform (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Supported-Platform (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Summary#,Metadata-Version: 2.3
Package Distribution Metadata#,Description#,Metadata-Version: 2.3
Package Distribution Metadata#,Description-Content-Type#,Metadata-Version: 2.3
Package Distribution Metadata#,Keywords#,Metadata-Version: 2.3
Package Distribution Metadata#,Home-page#,Metadata-Version: 2.3
Package Distribution Metadata#,Download-URL#,Metadata-Version: 2.3
Package Distribution Metadata#,Author#,Metadata-Version: 2.3
Package Distribution Metadata#,Author-email#,Metadata-Version: 2.3
Package Distribution Metadata#,Maintainer#,Metadata-Version: 2.3
Package Distribution Metadata#,Maintainer-email#,Metadata-Version: 2.3
Package Distribution Metadata#,License#,Metadata-Version: 2.3
Package Distribution Metadata#,Classifier (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Requires-Dist (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Requires-Python#,Metadata-Version: 2.3
Package Distribution Metadata#,Requires-External (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Project-URL (multiple-use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Provides-Extra (multiple use)#,Metadata-Version: 2.3
Package Distribution Metadata#,Rarely Used Fields#,Metadata-Version: 2.3
Package Distribution Metadata#,Deprecated Fields#,Metadata-Version: 2.3
Package Distribution Metadata#,History#,Metadata-Version: 2.3
Package Distribution Metadata#,Definitions#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Version scheme#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Version specifiers#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Direct references#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Summary of differences from pkg_resources.parse_version#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Appendix: Parsing version strings with regular expressions#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,History#,[N!]N(.N)*[{a|b|rc}N][.postN][.devN]
Package Distribution Metadata#,Specification#,"requests [security,tests] >= 2.8.1, == 2.8.* ; python_version < ""2.7"""
Package Distribution Metadata#,Complete Grammar#,"requests [security,tests] >= 2.8.1, == 2.8.* ; python_version < ""2.7"""
Package Distribution Metadata#,History#,"requests [security,tests] >= 2.8.1, == 2.8.* ; python_version < ""2.7"""
Package Distribution Metadata#,References#,"requests [security,tests] >= 2.8.1, == 2.8.* ; python_version < ""2.7"""
Package Distribution Metadata#,Declaring build system dependencies: the[build-system]table#,"[build-system]# Minimum requirements for the build system to execute.requires=[""setuptools""]"
Package Distribution Metadata#,Declaring project metadata: the[project]table#,"[build-system]# Minimum requirements for the build system to execute.requires=[""setuptools""]"
Package Distribution Metadata#,Arbitrary tool configuration: the[tool]table#,"[build-system]# Minimum requirements for the build system to execute.requires=[""setuptools""]"
Package Distribution Metadata#,History#,"[build-system]# Minimum requirements for the build system to execute.requires=[""setuptools""]"
Package Distribution Metadata#,Specification#,"# /// some-toml# embedded-csharp = """"""# /// <summary># /// text# ///# /// </summary># public class MyClass { }# """"""# ///"
Package Distribution Metadata#,Reference Implementation#,"# /// some-toml# embedded-csharp = """"""# /// <summary># /// text# ///# /// </summary># public class MyClass { }# """"""# ///"
Package Distribution Metadata#,Recommendations#,"# /// some-toml# embedded-csharp = """"""# /// <summary># /// text# ///# /// </summary># public class MyClass { }# """"""# ///"
Package Distribution Metadata#,History#,"# /// some-toml# embedded-csharp = """"""# /// <summary># /// text# ///# /// </summary># public class MyClass { }# """"""# ///"
Package Distribution Metadata#,Overview#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,Python Tag#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,ABI Tag#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,Platform Tag#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,Use#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,Compressed Tag Sets#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,FAQ#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Distribution Metadata#,History#,"importreimportsubprocessdefget_musl_major_minor(so:str)->tuple[int,int]|None:""""""Detect musl runtime version.Returns a two-tuple ``(major, minor)`` that indicates musllibrary's version, or ``None`` if the given libc .so does notoutput expected information.The libc library should output something like this to stderr::musl libc (x86_64)Version 1.2.2Dynamic Program Loader""""""proc=subprocess.run([so],stderr=subprocess.PIPE,text=True)lines=(line.strip()forlineinproc.stderr.splitlines())lines=[lineforlineinlinesifline]iflen(lines)<2orlines[0][:4]!=""musl"":returnNonematch=re.match(r""Version (\d+)\.(\d+)"",lines[1])ifmatch:return(int(match.group(1)),int(match.group(2)))returnNone"
Package Installation Metadata#,The .dist-info directory#,"/usr/bin/black,sha256=iFlOnL32lIa-RKk-MDihcbJ37wxmRbE4xk6eVYVTTeU,220
../../../bin/blackd,sha256=lCadt4mcU-B67O1gkQVh7-vsKgLpx6ny1le34Jz6UVo,221
__pycache__/black.cpython-38.pyc,,
__pycache__/blackd.cpython-38.pyc,,
black-19.10b0.dist-info/INSTALLER,sha256=zuuue4knoyJ-UwPPXg8fezS7VCrXJQrAP7zeNuwvFQg,4
black-19.10b0.dist-info/LICENSE,sha256=nAQo8MO0d5hQz1vZbhGqqK_HLUqG1KNiI9erouWNbgA,1080
black-19.10b0.dist-info/METADATA,sha256=UN40nGoVVTSpvLrTBwNsXgZdZIwoKFSrrDDHP6B7-A0,58841
black-19.10b0.dist-info/RECORD,,
black.py,sha256=45IF72OgNfF8WpeNHnxV2QGfbCLubV5Xjl55cI65kYs,140161
blackd.py,sha256=JCxaK4hLkMRwVfZMj8FRpRRYC0172-juKqbN22bISLE,6672
blib2to3/__init__.py,sha256=9_8wL9Scv8_Cs8HJyJHGvx1vwXErsuvlsAqNZLcJQR0,8
blib2to3/__pycache__/__init__.cpython-38.pyc,,
blib2to3/__pycache__/pygram.cpython-38.pyc,sha256=zpXgX4FHDuoeIQKO_v0sRsB-RzQFsuoKoBYvraAdoJw,1512
blib2to3/__pycache__/pytree.cpython-38.pyc,sha256=LYLplXtG578ZjaFeoVuoX8rmxHn-BMAamCOsJMU1b9I,24910
blib2to3/pygram.py,sha256=mXpQPqHcamFwch0RkyJsb92Wd0kUP3TW7d-u9dWhCGY,2085
blib2to3/pytree.py,sha256=RWj3IL4U-Ljhkn4laN0C3p7IRdfvT3aIRjTV-x9hK1c,28530"
Package Installation Metadata#,The METADATA file#,"/usr/bin/black,sha256=iFlOnL32lIa-RKk-MDihcbJ37wxmRbE4xk6eVYVTTeU,220
../../../bin/blackd,sha256=lCadt4mcU-B67O1gkQVh7-vsKgLpx6ny1le34Jz6UVo,221
__pycache__/black.cpython-38.pyc,,
__pycache__/blackd.cpython-38.pyc,,
black-19.10b0.dist-info/INSTALLER,sha256=zuuue4knoyJ-UwPPXg8fezS7VCrXJQrAP7zeNuwvFQg,4
black-19.10b0.dist-info/LICENSE,sha256=nAQo8MO0d5hQz1vZbhGqqK_HLUqG1KNiI9erouWNbgA,1080
black-19.10b0.dist-info/METADATA,sha256=UN40nGoVVTSpvLrTBwNsXgZdZIwoKFSrrDDHP6B7-A0,58841
black-19.10b0.dist-info/RECORD,,
black.py,sha256=45IF72OgNfF8WpeNHnxV2QGfbCLubV5Xjl55cI65kYs,140161
blackd.py,sha256=JCxaK4hLkMRwVfZMj8FRpRRYC0172-juKqbN22bISLE,6672
blib2to3/__init__.py,sha256=9_8wL9Scv8_Cs8HJyJHGvx1vwXErsuvlsAqNZLcJQR0,8
blib2to3/__pycache__/__init__.cpython-38.pyc,,
blib2to3/__pycache__/pygram.cpython-38.pyc,sha256=zpXgX4FHDuoeIQKO_v0sRsB-RzQFsuoKoBYvraAdoJw,1512
blib2to3/__pycache__/pytree.cpython-38.pyc,sha256=LYLplXtG578ZjaFeoVuoX8rmxHn-BMAamCOsJMU1b9I,24910
blib2to3/pygram.py,sha256=mXpQPqHcamFwch0RkyJsb92Wd0kUP3TW7d-u9dWhCGY,2085
blib2to3/pytree.py,sha256=RWj3IL4U-Ljhkn4laN0C3p7IRdfvT3aIRjTV-x9hK1c,28530"
